Journal;Year;Titel;Observation;Interview;Content Analysis;Other;Observation_y/n;Interview_y/n;ContentAnalysis_y/n;Other_y/n;Subject;Medium;Field
Communication Methods & Measures;2014;Measuring Exposure to Direct-to-Consumer Advertising: A Validation Study in the Context of Cancer-Related Treatment Advertising;no;only method;no;no;no;yes;no;no;uses & gratifications;combination;combination
Communication Methods & Measures;2010;Mediators' Facilitative Versus Controlling Argument Strategies and Tactics: A Qualitative Analysis Using the Conversational Argument Coding System;no;no;only method;no;no;no;yes;no;methods;conversations;entertainment
Communication Methods & Measures;2014;Experimental Manipulation of Psychological Involvement with Media;no;no;only method;no;no;no;yes;no;uses & gratifications;combination;combination
Communication Methods & Measures;2014;Conceptualizing Visual Detail: Message Structure as a Predictor of Preferential Processing;no;only method;no;no;no;yes;no;no;uses & gratifications;combination;combination
Communication Methods and Measures;2011;Evaluating Participation in Small Groups Stimulated Recall, Self-Ratings, and Their Effects on Task-Relevant Judgments;no;only method;no;no;no;yes;no;no;methods;conversations;private_shpere
Communication Methods and Measures;2012;A Trim and Fill Examination of the Extent of Publication Bias in Communication Research;no;no;only method;no;no;no;yes;no;the own discipline; ; 
Communication Methods and Measures;2011;A Cross-Validation of the Relational Entitlement and Proprietariness Scale;no;only method;no;no;no;yes;no;no;methods; ; 
Communication Methods and Measures;2011;How Much Is Enough? New Recommendations for Using Constructed Week Sampling in Newspaper Content Analysis of Health Stories;no;no;only method;no;no;no;yes;no;methods;print;journalism
Communication Methods and Measures;2012;Measuring Media Exposure to Contradictory Health Information A Comparative Analysis of Four Potential Measures;no;only method;no;no;no;yes;no;no;methods;combination;private_shpere
Communication Methods and Measures;2011;A Measure of Perceived Argument Strength Reliability and Validity;no;only method;no;no;no;yes;no;no;methods;conversations; 
Communication Monographs;2007;Inappropriate Parental Divorce Disclosures, the Factors that Prompt them, and their Impact on Parents' and Adolescents' Well-Being;no;only method;no;no;no;yes;no;no;uses & gratifications; ; 
Communication Monographs;2006;Feminist;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2002;Self-Direction or Social Support? Nonprofit Empowerment and the Tacit Employment Contract of Organizational Communication Studies;no;only method;no;no;no;yes;no;no;uses & gratifications; ; 
Communication Monographs;2004;Communication-related organizational structures and work group temporal experiences: the effects of coordination method, technology type, and feedback cycle on members' construals and enactments of time;no;only method;no;no;no;yes;no;no;uses & gratifications; ; 
Communication Monographs;2004;Reflexivity and managerial practice;no;only method;no;no;no;yes;no;no;communicator research;conversations;private_shpere
Communication Monographs;2002;What Can We Learn from the Study of Twins about Genetic and Environmental Influences on Interpersonal Affiliation, Aggressiveness, and Social Anxiety?: A Meta-Analytic Study;no;no;only method;no;no;no;yes;no;uses & gratifications; ; 
Communication Monographs;2012;First, its dirty. Second, its dangerous. Third, its insulting  Urban Chinese Children Talk about Dirty Work;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Monographs;2003;Expectancy Violation Theory and Sexual Resistance in Close, Cross-Sex Relationships;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2013;Efficiently and Effectively Evaluating Public Service Announcements: Additional Evidence for the Utility of Perceived Effectiveness;no;only method;no;no;no;yes;no;no;media effects;audio-visual;PR/campaining
Communication Monographs;2012;Explaining the Relationships among Supportive Message Quality, Evaluations, and Outcomes A Dual-Process Approach;no;only method;no;no;no;yes;no;no;media effects;combination;combination
Communication Monographs;2000;Communication in the Management of Uncertainty: The Case of Persons Living with HIV or AIDS;no;only method;no;no;no;yes;no;no;uses & gratifications;combination;private_shpere
Communication Monographs;2008;Making Sense of Intractable Multiparty Conflict: A Study of Framing in Four Environmental Disputes;no;coequal method;coequal method;no;no;yes;yes;no;uses & gratifications;conversations;combination
Communication Monographs;2011;Sensemaking and Relational Consequences of Peer Co-worker Deception;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Monographs;2004;Memorable messages as guides to self-assessment of behavior a replication and extension diary study;no;only method;no;no;no;yes;no;no;methods; ; 
Communication Monographs;2002;Conflict Style Differences Between Individualist and Collectivists;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2013;Integrated Threat Theory and Acceptance of Immigrant Assimilation: An Analysis of Muslim Immigration in Western Europe;no;only method;no;no;no;yes;no;no;uses & gratifications; ;combination
Communication Monographs;2010;Relational Maintenance in On-again/Off-again Relationships An Assessment of How Relational Maintenance, Uncertainty, and Commitment Vary by Relationship Type and Status;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2002;Routine and Strategic Maintenance Efforts Behavioral Patterns, Variations Associated with Relational Length, and the Prediction of Relational Characteristics;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2015;Genetic and Individual Influences on Predictors of Disclosure: Exploring Variation in the Oxytocin Receptor Gene and Attachment Security;no;coequal method;no;coequal method;no;yes;no;yes;interpersonal communication;conversations;private_shpere
Communication Monographs;2010;Qualifying Engagement A Study of Information and Communication Technology and the Global Social Justice Movement in Aotearoa New Zealand;no;only method;no;no;no;yes;no;no; ;combination;combination
Communication Monographs;2013;The Structuration of Information and Communication Technologies and Work–Life Interrelationships: Shared Organizational and Family Rules and Resources and Implications for Work in a High-Technology Organization;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Monographs;2013;Modeling Interactional Influence in Advice Exchanges: Advice Giver Goals and Recipient Evaluations;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Monographs;2003;Persuasive Strategies for Effective Anti-Drug Messages;no;only method;no;no;no;yes;no;no;media effects;audio-visual;PR/campaining
Communication Monographs;2000;Younger and Older Adults Schematic Representations of Intergenerational Communication;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2003;Self-Reported Extraversion, Neuroticism, and Psychoticism as Predictors of Peer Rated Verbal Aggressiveness and Affinity-Seeking Competence;no;only method;no;no;no;yes;no;no;media effects;conversations;PR/campaining
Communication Monographs;2011;Predicting the Consumption of Political TV Satire Affinity for Political Humor, The Daily Show, and The Colbert Report;no;only method;no;no;no;yes;no;no;uses & gratifications;audio-visual;combination
Communication Monographs;2009;The Attitude Base as a Moderator of the Effectiveness of Inoculation Strategy;no;only method;no;no;no;yes;no;no;media effects;conversations;combination
Communication Monographs;2012;Measuring Media Compliance and Divergence in the Nondemocratic Press System;no;no;only method;no;no;no;yes;no;media contents;print;journalism
Communication Monographs;2011;Relational Uncertainty and Relationship Talk within Courtship A Longitudinal Actor-Partner Interdependence Model;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Monographs;2002;Nonverbal Communication and Marital Adjustment and Satisfaction The Role of Decoding Relationship Relevant and Relationship Irrelevant Affect;no;only method;no;no;no;yes;no;no;uses & gratifications; ; 
Communication Monographs;2004;Is there empirical evidence for a nonverbal profile of extraversion? a meta-analysis and critique of the literature;no;no;only method;no;no;no;yes;no;the own discipline; ;combination
Communication Monographs;2001;Support Providers Interaction Goals The Influence of Attributions and Emotions;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2007;Developmental Changes in Adult Comprehension of a Television Program are Modified by Being a Fan;no;only method;no;no;no;yes;no;no;uses & gratifications;audio-visual;entertainment
Communication Monographs;2008;They Allowed Pentadic Mapping of Womens Maternity Leave Discourse as Organizational Rhetoric;no;subordinate method;central method;no;no;yes;yes;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2014;Framing the Flotilla: Newsmaking, Image Crises and the Kishon Dives Investigative Report;no;no;only method;no;no;no;yes;no;media contents;combination;journalism
Communication Monographs;2013;“We're Going to be Survivors”: Couples' Identity Challenges During and After Cancer Treatment;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Monographs;2007;All Joking Aside A Serious Investigation into the Persuasive Effect of Funny Social Issue Messages;no;only method;no;no;no;yes;no;no;media effects;combination;entertainment
Communication Monographs;2013;Grieving Gender: Trans-identities, Transition, and Ambiguous Loss;no;only method;no;no;no;yes;no;no; ;conversations;private_shpere
Communication Monographs;2002;Scheidel and Crowell Revisited A Descriptive Study of Group Proposal Sequencing;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2003;Attitude Accessibility as an Alternative Explanation for How Inoculation Confers Resistance;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Monographs;2009;Nuances about the Role and Impact of Affect in Inoculation;no;only method;no;no;no;yes;no;no;media effects;conversations;combination
Communication Monographs;2010;Television Viewing, Racial Attitudes, and Policy Preferences Exploring the Role of Social Identity and Intergroup Emotions in Influencing Support for Affirmative Action;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2010;Predicted Outcome Value Theory in Ongoing Relationships;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2010;Decision-Making Groups Attenuate the Discussion Bias in Favor of Shared Information A Meta-Analysis;no;no;only method;no;no;no;yes;no;media effects;audio-visual;combination
Communication Monographs;2004;Fear appeal messages affect accessibility of attitudes toward the threat and adaptive behaviors;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Monographs;2005;The Parasocial Contact Hypothesis;no;only method;no;no;no;yes;no;no;media effects;audio-visual;entertainment
Communication Monographs;2014;A Meta-Analytical Review of the Demand/Withdraw Pattern of Interaction and its Associations with Individual, Relational, and Communicative Outcomes;no;no;only method;no;no;no;yes;no;interpersonal communication;conversations;private_shpere
Communication Monographs;2010;Behavioral Activation/Inhibition Systems and Emotions A Test of Valence vs. Action Tendency Hypotheses;no;only method;no;no;no;yes;no;no;methods;audio-visual;PR/campaining
Communication Monographs;2012;Coparental Communication as a Mediator of Interparental Conflict and Young Adult Childrens Mental Well-Being;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Monographs;2006;Shared Family Identity, Age Salience, and Intergroup Contact Investigation of the Grandparent “Grandchild Relationship1;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2001;Investigating the Relationship Between Exposure to Television Programs that Depict Paranormal Phenomena and Beliefs in the Paranormal;no;only method;no;no;no;yes;no;no;media effects;audio-visual;private_shpere
Communication Monographs;2001;Sensation Seeking, Perceived Message Sensation Value, Personal Involvement, and Processing of Anti-Marijuana PSAs;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;PR/campaining
Communication Monographs;2014;Discursive Constructions of the Meaning of “Family” in Online Narratives of Foster Adoptive Parents;no;no;only method;no;no;no;yes;no;media contents;internet;private_shpere
Communication Monographs;2006;Virtually Working Communicative and Structural Predictors of Media Use and Key Outcomes in Virtual Work Teams1;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2001;Criteria for Revealing Family Secrets;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Monographs;2005;Childrens and Parents Fright Reactions to Kidnapping Stories in the News;no;only method;no;no;no;yes;no;no;media effects;combination;journalism
Communication Monographs;2014;Pornography Consumption and US Adults' Attitudes toward Gay Individuals' Civil Liberties, Moral Judgments of Homosexuality, and Support for Same-Sex Marriage: Mediating and Moderating Factors;no;only method;no;no;no;yes;no;no;media effects;combination;entertainment
Communication Monographs;2005;Perceptions of Conflict Management Styles in Chinese Intergenerational Dyads;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2006;Perceived Similarity of Exemplar Traits and Behavior;no;only method;no;no;no;yes;no;no;media effects;print;PR/campaining
Communication Research;2002;How Television Commentary Affects Childrens Judgments on Soccer Fouls;no;only method;no;no;no;yes;no;no;media effects;audio-visual;entertainment
Communication Research;2005;Slippery Slopes to Apprehension:;no;only method;no;no;no;yes;no;no;media effects;print;journalism
Communication Research;2011;Second Thoughts, Second Feelings: Attenuating the Impact of Threatening Narratives Through Rational Reappraisal;no;only method;no;no;no;yes;no;no;media effects;print;entertainment
Communication Research;2007;Dynamic Representations of Threatening Trends: The Role of Rationality and Experientiality in Potentiating Trepidation;no;only method;no;no;no;yes;no;no;media effects;print;combination
Communication Research;2009;X-Rated;no;only method;no;no;no;yes;no;no;media effects;combination;entertainment
Communication Research;2006;Chinese Evaluations of Emotional Support Skills, Goals, and Behaviors;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2001;A Competence-Based Approach to Examining Interpersonal Conflict;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2000;Third-Person Perception and Optimistic Bias Among Urban Minority At-Risk Youth;no;only method;no;no;no;yes;no;no;uses & gratifications;combination;journalism
Communication Research;2004;Sex, Lies, and Video Compact Disc;no;only method;no;no;no;yes;no;no;uses & gratifications;audio-visual;journalism
Communication Research;2009;Elaboration of the Hostile Media Phenomenon;no;only method;no;no;no;yes;no;no;media effects;combination;journalism
Communication Research;2013;The Cultivation of Fear of Sexual Violence in Women: Processes and Moderators of the Relationship Between Television and Fear;no;only method;no;no;no;yes;no;no;media effects;audio-visual;entertainment
Communication Research;2006;Media Message Flows and Interpersonal Communication;no;coequal method;coequal method;no;no;yes;yes;no;media effects;combination;journalism
Communication Research;2014;The Effects of Digital Media on Political Knowledge and Participation in Election Campaigns: Evidence From Panel Data;no;only method;no;no;no;yes;no;no;media effects;computer;PR/campaining
Communication Research;2010;Pathways to Persuasion: Cognitive and Experiential Responses to Health-Promoting Mass Media Messages;no;only method;no;no;no;yes;no;no;media effects;print;PR/campaining
Communication Research;2001;User Control and Structural Isomorphism or Disorientation and Cognitive Load?;no;only method;no;no;no;yes;no;no;media effects;internet;private_shpere
Communication Research;2004;Moving beyond;no;coequal method;coequal method;no;no;yes;yes;no;media effects;internet;journalism
Communication Research;2008;Confusion or Enlightenment?;no;only method;no;no;no;yes;no;no;media effects;audio-visual;PR/campaining
Communication Research;2002;Computer-Mediated Group Work: The Interaction of Sex and Anonymity;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2011;First Comes Love, Then Comes Google An Investigation of Uncertainty Reduction Strategies and Self-Disclosure in Online Dating;no;only method;no;no;no;yes;no;no;interpersonal communication;computer;private_shpere
Communication Research;2013;Does the Effect of Exposure to TV Sex on Adolescent Sexual Behavior Vary by Genre?;no;central method;subordinate method;no;no;yes;yes;no;media effects;combination;entertainment
Communication Research;2008;The Effects of Shared Cognition on Group Satisfaction and Performance;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Research;2015;The Mediating Role of Cognitive Reattribution and Reappraisal in the Esteem Support Process;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Research;2010;Effects of Online Health Sources on Credibility and Behavioral Intentions;no;only method;no;no;no;yes;no;no;media effects;internet;private_shpere
Communication Research;2007;Presumed Influence of DTC Prescription Drug Advertising: Do Experts and Novices Think Differently?;no;only method;no;no;no;yes;no;no;communicator research;conversations;private_shpere
Communication Research;2012;Social Diffusion of Campaign Effects Campaign-Generated Interpersonal Communication as a Mediator of Antitobacco Campaign Effects;no;only method;no;no;no;yes;no;no;media effects;combination;PR/campaining
Communication Research;2013;Exploring Parental Influences in the Theory of Normative Social Behavior: Findings From a Korean High School Sample;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Research;2014;Revisiting the Association of LMX Quality With Perceived Role Stressors: Evidence for Inverted U Relationships Among Immigrant Employees;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Research;2014;Examining the Role of Social Media in Effective Crisis Management: The Effects of Crisis Origin, Information Form, and Source on Publics’ Crisis Responses;no;only method;no;no;no;yes;no;no;uses & gratifications;computer;PR/campaining
Communication Research;2011;Online Pauses and Silence Chronemic Expectancy Violations in Written Computer-Mediated Communication;no;only method;no;no;no;yes;no;no;uses & gratifications;computer;private_shpere
Communication Research;2003;A Multilevel Approach to Civic Participation;no;only method;no;no;no;yes;no;no;media effects;conversations;combination
Communication Research;2001;Situational Urgency and Conversational Retreat;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2004;Agenda-Setting Effects and Attitude Strength;no;only method;no;no;no;yes;no;no;media effects;combination;journalism
Communication Research;2012;A Losing Battle Effects of Prolonged Exposure to Thin-Ideal Images on Dieting and Body Satisfaction;no;only method;no;no;no;yes;no;no;media effects;print;combination
Communication Research;2013;The Matilda Effect—Role Congruity Effects on Scholarly Communication: A Citation Analysis of Communication Research and Journal of Communication Articles;no;no;only method;no;no;no;yes;no;methods;combination;combination
Communication Research;2005;Talking Politics and Engaging Politics:;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2012;Perceptions of Conflict Behavior and Relational Satisfaction in Adult Parent-Child Relationships A Dyadic Analysis From an Attachment Perspective;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Research;2011;Attitudes Toward Online Social Connection and Self-Disclosure as Predictors of Facebook Communication and Relational Closeness;no;only method;no;no;no;yes;no;no;uses & gratifications;computer;private_shpere
Communication Research;2005;Effects of the Influence Agents Sex and Self-Confidence on Informational Social Influence in Computer-Mediated Communication:;no;only method;no;no;no;yes;no;no;media effects;computer;private_shpere
Communication Research;2013;Not So Imaginary Interpersonal Contact With Public Figures on Social Network Sites: How Affiliative Tendency Moderates Its Effects;no;only method;no;no;no;yes;no;no;uses & gratifications;computer;combination
Communication Research;2012;Effects of Popular Exemplars in Television News;no;only method;no;no;no;yes;no;no;media effects;internet;journalism
Communication Research;2009;The Impact of Attitude Accessibility and Decision Style on Adolescents Biased Processing of Health-Related Public Service Announcements;no;only method;no;no;no;yes;no;no;media effects;audio-visual;PR/campaining
Communication Research;2015;Normative Influences on Network Structure in the Evolution of the Children’s Rights NGO Network, 1977-2004;no;no;only method;no;no;no;yes;no;media contents;combination;combination
Communication Research;2009;Profiling Family Communication Standards;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2015;A New Look at Campaign Advertising and Political Engagement: Exploring the Effects of Opinion-Congruent and -Incongruent Political Advertisements;no;only method;no;no;no;yes;no;no;media effects;combination;PR/campaining
Communication Research;2003;The Conceptualization and Measurement of Diversity;no;only method;no;no;no;yes;no;no;methods; ; 
Communication Research;2015;A Role for the Self: Media Content as Triggers for Involuntary Autobiographical Memories;no;only method;no;no;no;yes;no;no;uses & gratifications;audio-visual;combination
Communication Research;2004;First-Date Expectations;no;only method;no;no;no;yes;no;no;uses & gratifications; ;private_shpere
Communication Research;2009;Interpersonal Trust and Social Skill in Seeking Social Support Among Chinese and Americans;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2005;Knowledge or Trust?;no;only method;no;no;no;yes;no;no;media effects;combination;journalism
Communication Research;2006;An Analysis of Socioemotional and Task Communication in Online Multiplayer Video Games;no;no;only method;no;no;no;yes;no;media contents;games;private_shpere
Communication Research;2007;The Influence of Corporate Front-Group Stealth Campaigns;no;only method;no;no;no;yes;no;no;media effects;print;PR/campaining
Communication Research;2008;Young Adults Retrospective Reports of Childhood Television Viewing;no;only method;no;no;no;yes;no;no;uses & gratifications;audio-visual;combination
Communication Research;2007;The Impact of Anonymity on Perceptions of Source Credibility and Influence in Computer-Mediated Group Communication: A Test of Two Competing Hypotheses;no;only method;no;no;no;yes;no;no;uses & gratifications;computer;combination
Communication Research;2015;Health Blogging: An Examination of the Outcomes Associated With Making Public, Written Disclosures About Health;no;only method;no;no;no;yes;no;no;uses & gratifications;computer;private_shpere
Communication Research;2014;The Accessibility of Family and Peer Norms in Young Adolescent Risk Behavior;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Research;2002;Examining Differential Gains from Mass Media and their Implications for Participatory Behavior;no;only method;no;no;no;yes;no;no;media effects;combination;journalism
Communication Research;2007;My Friends Enemy: How Split-Screen Debate Coverage Influences Evaluation of Presidential Debates;no;only method;no;no;no;yes;no;no;media effects;audio-visual;PR/campaining
Communication Research;2012;Willingness to Help Following the Sichuan Earthquake Modeling the Effects of Media Involvement, Stress, Trust, and Relational Resources;no;only method;no;no;no;yes;no;no;media effects;audio-visual;combination
Communication Research;2005;Between Messages and People;no;coequal method;coequal method;no;no;yes;yes;no;methods;combination;PR/campaining
Communication Research;2011;Information and Communication Technology Sequences and Message Repetition in Interpersonal Interaction;no;only method;no;no;no;yes;no;no;interpersonal communication;computer; 
Communication Research;2010;Evidence in Support of a Strategy to Target Authoritarian and Permissive Parents in Antidrug Media Campaigns;no;only method;no;no;no;yes;no;no;media effects;print;PR/campaining
Communication Research;2003;Explicating Web Site Interactivity;no;only method;no;no;no;yes;no;no;uses & gratifications;internet;combination
Communication Research;2014;Relational Turbulence and the Post-deployment Transition: Self, Partner, and Relationship Focused Turbulence;no;only method;no;no;no;yes;no;no;interpersonal communication;conversations;private_shpere
Communication Research;2000;Fright Reactions to Television;no;only method;no;no;no;yes;no;no;media effects;audio-visual;journalism
Communication Research;2000;Local Community Ties, Community-Boundedness, and Local Public Affairs Knowledge Gaps;no;only method;no;no;no;yes;no;no;media effects;combination;combination
Communication Research;2001;Is a Picture Worth a Thousand Words?;no;only method;no;no;no;yes;no;no;uses & gratifications;computer;private_shpere
Communication Research;2012;The Role of Attitude Functions and Self-Monitoring in Predicting Intentions to Register as Organ Donors and to Discuss Organ Donation With Family;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Research;2010;Expertise Directory Development, Shared Task Interdependence, and Strength of Communication Network Ties as Multilevel Predictors of Expertise Exchange in Transactive Memory Work Groups;no;only method;no;no;no;yes;no;no;uses & gratifications;conversations;private_shpere
Communication Theory;2002;Interaction Appearance Theory: Changing Perceptions of Physical Attractiveness Through Social Interaction;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Theory;2013;Towards a New Model of Narrative Transformation: >From the American Myth to the Green Myth;no;no;only method;no;no;no;yes;no;media contents;print;advertising
Communication Theory;2006;The Role of Positive and Negative Signaling Communication by Strong and Weak Ties in the Shaping of Safe Sex Subjective Norms of Adolescents in South Africa;no;only method;no;no;no;yes;no;no;media effects;conversations;private_shpere
Communication Theory;2009;Campaigns, Reflection, and Deliberation: Advancing an O-S-R-O-R Model of Communication Effects;no;coequal method;coequal method;no;no;yes;yes;no;media effects;combination;PR/campaining
Communication Theory;2006;The Social Diffusion of Influence Among Adolescents: Group Interaction in a Chat Room Environment About Antidrug Advertisements;no;only method;no;no;no;yes;no;no;media effects;computer;PR/campaining
Communication Theory;2012;Reframing the Past as a Cosmopolitan Memory Obituaries in the Israeli Daily Haaretz;no;no;only method;no;no;no;yes;no;media contents;print;journalism
Communication Theory;2009;Presidential Campaign Dynamics and the Ebb and Flow of Talk as a Moderator: Media Exposure, Knowledge, and Political Discussion;no;coequal method;coequal method;no;no;yes;yes;no;media effects;combination;combination
Communication Theory;2001;Theory and practice of public meetings;no;only method;no;no;no;yes;no;no;media contents;conversations;combination
Communication Theory;2012;The Case for Cablinasian Multiracial Naming From Plessy to Tiger Woods;no;no;only method;no;no;no;yes;no;media contents;print;journalism
Communication Theory;2000;Organizing for Social Change Through Cooperative Action: The [Dis]Empowering Dimensions of Women's Communication;no;only method;no;no;no;yes;no;no;media contents; ; 
Communication Theory;2006;Normative and Informational Influences in Online Political Discussions;no;only method;no;no;no;yes;no;no;interpersonal communication;computer;private_shpere
Communication Theory;2006;Intermedia Processes in the Adoption of Tobacco Control Activities Among Opinion Leaders in California;no;only method;no;no;no;yes;no;no;uses & gratifications;combination;combination
Communication Theory;2006;A Social Judgment Theory Approach to Conducting Formative Research in a Social Norms Campaign;no;only method;no;no;no;yes;no;no;media effects;combination;PR/campaining
Communication Theory;2011;Modeling Audience Interactivity as the Gratification-Seeking Process in Online Newspapers;no;only method;no;no;no;yes;no;no;uses & gratifications;internet;combination
Communications: The European Journal of Communicat;2009;Media events and European visions: Czech Republic in the 2007 Eurovision Song Contest;no;no;only method;no;no;no;yes;no;media contents;audio-visual;entertainment
Communications: The European Journal of Communicat;2001;The New Media Consumers:Media Convergence and the Displacement Effect;no;only method;no;no;no;yes;no;no;uses & gratifications;combination;private_shpere
Communications: The European Journal of Communicat;2006;Political parallelism in news and commentaries on the Haider conflict. A comparative analysis of Austrian, British, German, and French quality newspapers;no;no;only method;no;no;no;yes;no;media contents;print;journalism
Communications: The European Journal of Communicat;2005;Cognitive Effects of Masculine Generics in German: An Overview of Empirical Findings;no;only method;no;no;no;yes;no;no;media effects;print;combination
Communications: The European Journal of Communicat;2005;Online Newspapers: A Substitute or Complement for Print Newspapers and Other Information Channels?;no;only method;no;no;no;yes;no;no;uses & gratifications;internet;journalism
Communications: The European Journal of Communicat;2007;Nostalgic memories. Qualitative reception analysis of Flemish TV fiction, 1953-1989;no;only method;no;no;no;yes;no;no;uses & gratifications;audio-visual;entertainment
Communications: The European Journal of Communicat;2002;All Women Should Cry: The Presentation of Women in  Foreign News;no;no;only method;no;no;no;yes;no;media contents;print;journalism
Communications: The European Journal of Communicat;2009;Sexual attitudes and erotophobia and the recall of sexual content on television;no;only method;no;no;no;yes;no;no;uses & gratifications;audio-visual;entertainment
Communications: The European Journal of Communicat;2005;Gender-role Stereotyping in Adult and Children's Television Advertisements: A Two-Study Comparison Between Great Britain and Poland;no;no;only method;no;no;no;yes;no;media contents;audio-visual;advertising
Communications: The European Journal of Communicat;2009;Internet adoption in the newsroom: Journalists' use of the Internet explained by attitudes and perceived functions;no;only method;no;no;no;yes;no;no;communicator research;internet;journalism
